"gps_data_id","sensor_code","utc_date","utc_time","line_no","tff","latitude","longitude","height","maxsnr","hdop","vdop","sat","fix","v1","v2","t1","t2","h1","h2","s1","s2","s3","s4","insert_timestamp","acquisition_time"
18174,"CJ11","2019-01-13","17:02:30",232,90,"0","0","0",34,"0","0",2,"NO","3.39V",NULL,"24.25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-13 12:02:30-05"
18175,"CJ11","2019-01-14","17:02:30",233,90,"0","0","0",0,"0","0",0,"NO","3.41V",NULL,"23.79",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-14 12:02:30-05"
18176,"CJ11","2019-01-15","17:02:30",234,90,"0","0","0",0,"0","0",0,"NO","3.43V",NULL,"24.05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-15 12:02:30-05"
18177,"CJ11","2019-01-16","17:02:30",235,90,"0","0","0",0,"0","0",0,"NO","3.41V",NULL,"23.92",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-16 12:02:30-05"
18178,"CJ11","2019-01-17","17:02:30",236,90,"0","0","0",30,"0","0",3,"NO","3.43V",NULL,"37.22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-17 12:02:30-05"
18179,"CJ11","2019-01-18","17:02:30",237,90,"26.0707583333333","-80.2787777777778","3",34,"3.4","7.3",4,"3D","3.41V",NULL,"38.14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-18 12:02:30-05"
18180,"CJ11","2019-01-19","00:02:30",238,90,"0","0","0",40,"0","0",3,"NO","3.41V",NULL,"26.01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-18 19:02:30-05"
18181,"CJ11","2019-01-19","01:02:30",239,90,"26.0694472222222","-80.2790583333333","7",35,"6.2","3.2",3,"2D","3.39V",NULL,"37.29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-18 20:02:30-05"
18182,"CJ11","2019-01-19","02:02:30",240,90,"0","0","0",33,"0","0",5,"NO","3.49V",NULL,"38.4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-18 21:02:30-05"
18183,"CJ11","2019-01-19","03:02:30",241,90,"0","0","0",37,"0","0",6,"NO","3.52V",NULL,"38.27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-18 22:02:30-05"
18184,"CJ11","2019-01-19","04:02:30",242,90,"26.0676944444444","-80.2743138888889","858",34,"5.1","3.2",3,"2D","3.39V",NULL,"37.88",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-18 23:02:30-05"
18185,"CJ11","2019-01-19","05:02:30",243,90,"26.068675","-80.2793027777778","350",40,"1.9","3.2",4,"3D","3.47V",NULL,"34.16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 00:02:30-05"
18186,"CJ11","2019-01-19","06:02:30",244,90,"26.0696194444444","-80.2790777777778","11",32,"2.3","4.5",5,"3D","3.43V",NULL,"28.88",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 01:02:30-05"
18187,"CJ11","2019-01-19","07:02:04",245,64,"26.0696277777778","-80.2790222222222","9",40,"2.7","3.9",6,"3D","3.50V",NULL,"35.59",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 02:02:04-05"
18188,"CJ11","2019-01-19","08:02:30",246,90,"0","0","0",22,"0","0",2,"NO","3.41V",NULL,"37.09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 03:02:30-05"
18189,"CJ11","2019-01-19","17:02:30",247,90,"26.0698166666667","-80.2789972222222","0",38,"2","3.3",6,"3D","3.41V",NULL,"37.55",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 12:02:30-05"
18190,"CJ11","2019-01-19","18:02:05",248,65,"26.0696861111111","-80.2789361111111","8",35,"4.2","2.5",5,"3D","3.50V",NULL,"36.31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 13:02:05-05"
18191,"CJ11","2019-01-19","19:02:04",249,64,"26.0717416666667","-80.2788972222222","-3",39,"0.9","1.5",8,"3D","3.49V",NULL,"24.31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 14:02:04-05"
18192,"CJ11","2019-01-19","20:02:12",250,72,"26.0739055555556","-80.2789083333333","1",41,"1","1.2",8,"3D","3.47V",NULL,"22.36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 15:02:12-05"
18193,"CJ11","2019-01-19","21:02:05",251,65,"26.0724222222222","-80.2793722222222","1",42,"1.4","1.5",8,"3D","3.49V",NULL,"21.51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 16:02:05-05"
18194,"CJ11","2019-01-19","22:02:02",252,62,"26.0719111111111","-80.2787722222222","1",42,"1.2","1.8",9,"3D","3.50V",NULL,"25.16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 17:02:02-05"
18195,"CJ11","2019-01-19","23:02:02",253,62,"26.0718416666667","-80.2790305555556","2",39,"1.7","2.8",7,"3D","3.49V",NULL,"23.47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 18:02:02-05"
18196,"CJ11","2019-01-20","00:02:24",254,84,"26.0696555555556","-80.2781861111111","3",39,"1.4","2",6,"3D","3.45V",NULL,"24.18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 19:02:24-05"
18197,"CJ11","2019-01-20","01:02:04",255,64,"26.0676111111111","-80.2789333333333","18",38,"2.3","2.4",5,"3D","3.43V",NULL,"26.4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 20:02:04-05"
18198,"CJ11","2019-01-20","02:02:30",256,90,"0","0","0",31,"0","0",6,"NO","3.39V",NULL,"26.92",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 21:02:30-05"
18199,"CJ11","2019-01-20","03:02:30",257,90,"0","0","0",40,"0","0",8,"NO","3.39V",NULL,"31.36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 22:02:30-05"
18200,"CJ11","2019-01-20","04:02:30",258,90,"26.0697083333333","-80.2782361111111","3",40,"1.6","2.5",5,"3D","3.50V",NULL,"24.77",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-19 23:02:30-05"
18201,"CJ11","2019-01-20","05:02:02",259,62,"26.0729694444444","-80.2778333333333","-2",44,"2.6","5.6",5,"3D","3.50V",NULL,"24.9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-20 00:02:02-05"
