"sensor_code","utc_date","utc_time","latitude","longitude","height","hdop","vdop","fix","acquisition_time"
"CJ11","2019-01-19","00:02:30",NA,NA,NA,0,0,"NO","2019-01-19 00:02:30"
"CJ11","2019-01-19","01:02:30",26.0694472222222,-80.2790583333333,7,6.2,3.2,"2D","2019-01-19 01:02:30"
"CJ11","2019-01-19","02:02:30",NA,NA,NA,0,0,"NO","2019-01-19 02:02:30"
"CJ11","2019-01-19","03:02:30",NA,NA,NA,0,0,"NO","2019-01-19 03:02:30"
"CJ11","2019-01-19","04:02:30",26.0676944444444,-80.2743138888889,858,5.1,3.2,"2D","2019-01-19 04:02:30"
"CJ11","2019-01-19","05:02:30",26.068675,-80.2793027777778,350,1.9,3.2,"3D","2019-01-19 05:02:30"
"CJ11","2019-01-19","06:02:30",26.0696194444444,-80.2790777777778,11,2.3,4.5,"3D","2019-01-19 06:02:30"
"CJ11","2019-01-19","07:02:04",26.0696277777778,-80.2790222222222,9,2.7,3.9,"3D","2019-01-19 07:02:04"
"CJ11","2019-01-19","08:02:30",NA,NA,NA,0,0,"NO","2019-01-19 08:02:30"
"CJ11","2019-01-19","17:02:30",26.0698166666667,-80.2789972222222,NA,2,3.3,"3D","2019-01-19 17:02:30"
"CJ11","2019-01-19","18:02:05",26.0696861111111,-80.2789361111111,8,4.2,2.5,"3D","2019-01-19 18:02:05"
"CJ11","2019-01-19","19:02:04",26.0717416666667,-80.2788972222222,-3,0.9,1.5,"3D","2019-01-19 19:02:04"
"CJ11","2019-01-19","20:02:12",26.0739055555556,-80.2789083333333,1,1,1.2,"3D","2019-01-19 20:02:12"
"CJ11","2019-01-19","21:02:05",26.0724222222222,-80.2793722222222,1,1.4,1.5,"3D","2019-01-19 21:02:05"
"CJ11","2019-01-19","22:02:02",26.0719111111111,-80.2787722222222,1,1.2,1.8,"3D","2019-01-19 22:02:02"
"CJ11","2019-01-19","23:02:02",26.0718416666667,-80.2790305555556,2,1.7,2.8,"3D","2019-01-19 23:02:02"
"CJ11","2019-01-20","00:02:24",26.0696555555556,-80.2781861111111,3,1.4,2,"3D","2019-01-20 00:02:24"
"CJ11","2019-01-20","01:02:04",26.0676111111111,-80.2789333333333,18,2.3,2.4,"3D","2019-01-20 01:02:04"
"CJ11","2019-01-20","02:02:30",NA,NA,NA,0,0,"NO","2019-01-20 02:02:30"
"CJ11","2019-01-20","03:02:30",NA,NA,NA,0,0,"NO","2019-01-20 03:02:30"
